,0
0,sequencer_sample_name
1,researcher
2,researcher_initials
3,principal_investigator
4,batch
5,consecutive_unique_sample_identifier
6,grant_id
7,project_code
8,company_code
9,collection_date
10,geo_loc_name
11,depth_meters
12,alt_elev_meters
13,samp_collect_device
14,storage_temperature_before_shipping_celcius
15,temperature_during_transportation_celcius
16,storage_temperature_before_processing_celsius
17,env_biome
18,env_material
19,experiment
20,carbon_source
21,redox
22,experimental_temperature_celsius
23,experimental_salinity_grams_liter
24,experimental_sulfate_mM
25,source_mat
26,isol_growth_condt
27,sampling_temperature_celsius
28,operating_pressure_kpag
29,sampling_salinity_M_equiv_NaCl
30,sampling_pH
31,sampling_sulfate_mM
32,sampling_sulfide_mM
33,sampling_sulfate_reduction_rate_umol S/mL/day
34,sampling_ammonium_mM
35,sampling_total_iron_mM
36,sampling_acetate_mM
37,sampling_propionate_mM
38,butyrate_mM
39,ATP_test_log_microorganisms/mL
40,qPCR_16S_copies/mL_sample)
41,bromide_mM
42,chloride_mM
43,nucl_acid_ext
44,nucl_acid_ext_date
45,nucl_acid_ext_storage_condition_celsius
46,nucl_acid_ext_storage_time_until_use_days
47,target_gene
48,target_subfragment
49,forward_pcr_primer_name
50,forward_pcr_primer_sequence
51,reverse_pcr_primer_name
52,reverse_pcr_primer_sequence
53,pcr_temp_per_cycle
54,number_of_cycles
55,DNA_concentration_after_extraction_ng/uL
56,DNA_concentration_after_first_PCR_ng/uL
57,final_DNA_concentration_ng/uL
58,DNA_concentration_sent_for_sequencing_ng/uL
59,vol_DNA_sent_for_sequencing_ÂµL
60,DNA_extraction_protocol
61,amount_of_liquid_material_used_for_nucleic_acid_extraction_mL
62,seq_date
63,sample_description
64,sample_name
65,replicate
66,seq_center
67,forw_index_name
68,forw_index_sequence
69,rev_index_name
70,rev_index_sequence
71,seq_method
