sequencer_sample_name	sequencing sample name
researcher	researcher
researcher_initials	researcher
principal_investigator	No Match
batch	batch
consecutive_unique_sample_identifier	sequencing sample name
grant_id	grant id
project_code	project code
company_code	company code
collection_date	collection date
geo_loc_name	geolocation name
depth_meters	depth
alt_elev_meters	alternate elevation
samp_collect_device	sample collection device
storage_temperature_before_shipping_celcius	storage temperature before shipping
temperature_during_transportation_celcius	transportation temperature
storage_temperature_before_processing_celsius	storage temperature before processing
env_biome	environmental biome
env_material	environmental material in sampling process
experiment	No Match
carbon_source	carbon source
redox	redox agents
experimental_temperature_celsius	experimental temperature
experimental_salinity_grams_liter	experimental salinity
experimental_sulfate_mM	experimental sulfate concentration
source_mat	source material
isol_growth_condt	isolated growth conditions
sampling_temperature_celsius	sampling temperature
operating_pressure_kpag	operating pressure
sampling_salinity_M_equiv_NaCl	sampling salinity
sampling_pH	sampling pH
sampling_sulfate_mM	sampling sulfate concentration
sampling_sulfide_mM	sampling sulfide concentration
sampling_sulfate_reduction_rate_umol S/mL/day	sampling sulfate reduction rate
sampling_ammonium_mM	sampling ammonium concentration
sampling_total_iron_mM	sampling total iron concentration
sampling_acetate_mM	sampling acetate concentration
sampling_propionate_mM	sampling propionate concentration
butyrate_mM	butyrate concentration
ATP_test_log_microorganisms/mL	ATP test log
qPCR_16S_copies/mL_sample)	qPCR 16S copies
bromide_mM	bromide concentration 
chloride_mM	chloride concentration
nucl_acid_ext	nucleic acid extraction
nucl_acid_ext_date	nucleic acid extraction date
nucl_acid_ext_storage_condition_celsius	nucleic acid storage temperature
nucl_acid_ext_storage_time_until_use_days	nucleic acid storage time until use
target_gene	target gene
target_subfragment	target subfragment
forward_pcr_primer_name	forward PCR primer
forward_pcr_primer_sequence	forward PCR primer
reverse_pcr_primer_name	reverse PCR primer
reverse_pcr_primer_sequence	reverse PCR primer
pcr_temp_per_cycle	PCR temperature per cycle
number_of_cycles	number of PCR cycles
DNA_concentration_after_extraction_ng/uL	No Match
DNA_concentration_after_first_PCR_ng/uL	DNA concentration after first PCR
final_DNA_concentration_ng/uL	DNA concentration final
DNA_concentration_sent_for_sequencing_ng/uL	DNA concentration sent for sequencing
vol_DNA_sent_for_sequencing_ÂµL	DNA volume sent for sequencing
DNA_extraction_protocol	DNA extraction protocol
amount_of_liquid_material_used_for_nucleic_acid_extraction_mL	amount of liquid material used for DNA extraction
seq_date	sequencing date
sample_description	sequencing sample description
sample_name	sequencing sample name
replicate	biological replicate
seq_center	sequencing center
forw_index_name	No Match
forw_index_sequence	No Match
rev_index_name	No Match
rev_index_sequence	No Match
seq_method	sequencing method name