	Index	Input Column Label	Matched Ontology LabelMatch Score
0	sequencer_sample_name	['sample']	100
1	researcher	['researcher']	100
2	researcher_initials	['researcher']	100
3	principal_investigator	['informing investigator of subject study arm']	71
4	batch	['batch']	100
5	consecutive_unique_sample_identifier	['sample']	100
6	 grant_id	['grant id']	100
7	project_code	['project code']	100
8	company_code	['company code']	100
9	company_contact	['information content entity']	64
10	YYYYMMDD collection_date	['collection date']	100
11	geo_loc_name	['lock']	100
12	lat_lon	['dot plot']	67
13	depth_meters	['depth']	100
14	alt_elev_meters	['meter']	100
15	samp_collect_device	['device']	100
16	storage_temperature_before_shipping_celcius	['storage temperature before shipping']	100
17	temperature_during_transportation_celcius	['transportation temperature']	100
18	storage_temperature_before_processing_celsius	['storage temperature before processing']	100
19	env_biome	['environmental biome']	67
20	env_feature	['mathematical feature']	74
21	env_material	['material entity']	79
22	env_package	['rapid amplification of cDNA ends']	100
23	experiment	['efficacy of epitope intervention experiment']	100
24	carbon_source	['carbon source']	100
25	redox	['redox agents']	100
26	experimental_temperature_celsius	['experimental temperature']	100
27	experimental_salinity_grams_liter	['experimental salinity']	100
28	experimental_phosphate	['experimental phosphate conecntration']	100
29	experimental_sulfate_mM	['experimental sulfate concentration']	91
30	experimental_pH	['experimental pH']	93
31	source_mat	['ion source']	80
32	isol_growth_condt	['isolated growth conditions']	62
33	sampling_temperature_celsius	['sampling temperature']	100
34	operating_pressure_kpag	['operating pressure']	100
35	sampling_salinity_M_equiv_NaCl	['sampling salinity']	100
36	sampling_pH	['sampling pH']	91
37	sampling_sulfate_mM	['sampling sulfate concentration']	89
38	sampling_sulfide_mM	['sampling sulfide concentration']	89
39	sampling_sulfate_reduction_rate_umol S/mL/day	['sampling sulfate reduction rate']	100
40	sampling_ammonium_mM	['sampling ammonium concentration']	89
41	sampling_total_iron_mM	['sampling total iron concentration']	90
42	sampling_acetate_mM	['sampling acetate concentration']	89
43	sampling_propionate_mM	['sampling propionate concentration']	90
44	butyrate_mM	['butyrate concentration']	80
45	ATP_test_log_microorganisms/mL	['ATP test log']	80
46	qPCR_16S_copies/mL_sample)	['sample']	100
47	bromide_mM	['bromide concentration']	78
48	chloride_mM	['chloride concentration']	80
49	subspecf_gen_lin	['gene knock in']	100
50	extrachrom_elements	['formaldehyde-assisted isolation of regulatory elements assay']	100
51	biotic_relationship	['biotic relationship']	100
52	trophic_level	['trophic level']	100
53	nucl_acid_ext	['nucleic acid']	64
54	YYYYMMDD nucl_acid_ext_date	['nucleic acid extraction date']	67
55	nucl_acid_ext_storage_condition_celsius	['storage']	100
56	nucl_acid_ext_storage_time_until_use_days	['storage']	100
57	nucl_acid_amp	['arc lamp']	67
58	target_gene	['target gene']	100
59	target_subfragment	['target subfragment']	100
60	forward_pcr_primer_name	['forward pcr primer']	100
61	forward_pcr_primer_sequence	['forward pcr primer']	100
62	reverse_pcr_primer_name	['reverse pcr primer']	100
63	reverse_pcr_primer_sequence	['reverse pcr primer']	100
64	pcr_temp_per_cycle	['time']	100
65	number_of_cycles	['number of PCR cycles']	100
66	lib_vector	['recombinant vector']	75
67	lib_screen	['spleen']	100
68	DNA_concentration_after_extraction_ng/uL	['extraction']	100
69	DNA_concentration_after_first_PCR_ng/uL	['DNA concentration after first PCR']	94
70	final_DNA_concentration_ng/uL	['DNA concentration final']	90
71	DNA_concentration_sent_for_sequencing_ng/uL	['DNA concentration sent for sequencing']	94
72	vol_DNA_sent_for_sequencing_ÂµL	['volt']	100
73	DNA_extraction_protocol	['extraction']	100
74	amount_of_solid_material_used_for_nucleic_acid_extraction_mg	['nucleic acid extraction']	100
75	amount_of_liquid_material_used_for_nucleic_acid_extraction_mL	['nucleic acid extraction']	100
76	gel_image_file_name	['image']	100
77	samp_mat_process	['process']	100
78	YYYYMMDD seq_date	['data set']	88
79	sample_description	['sequencing sample description']	100
80	sample_name	['sequencing sample name']	100
81	replicate	['replicate analysis']	100
82	seq_center	['center value']	75
83	seq_lane	['plane angle unit']	71
84	linker_name	['linear amplification']	71
85	linker_sequence	['DNA sequencer']	79
86	forw_index_name	['refractive index detector']	56
87	forw_index_sequence	['sequence data']	76
88	rev_index_name	['rad']	100
89	rev_index_sequence	['rad']	100
90	adaptor_name	['column adapter']	74
91	adaptor_sequence	['adapter-sequence trimming']	100
92	seq_method	['software method']	75
93	lib_size_before_quality_control	['size']	100
94	lib_size_after_control	['size']	100
95	quality_check_tool	['check dam']	71
96	quality_control_tool	['spike-in quality control role']	86
97	lib_reads_seqd	['Strous lab']	58
98	lib_const_meth	['oil bath']	67
99	seq_quality_check	['check dam']	71
100	chimera_check	['check dam']	76
101	assembly	['needle assembly']	100
102	analysis_pipeline_version	['pipeline']	100
103	pipeline_sop	['pipeline']	100
104	url	No Match	0
105	mark_gene_ref_database_vers	['rad']	100
106	contig_construction_tool	['construction']	100
107	min_overlap	['Roentgen equivalent man']	100
108	err_overl_regi	['paraffin oven']	57
109	fileType	No Match	0
