Date Sampled	collection date
Date Received	No Match
Temperature at Sampling Point (Â°C)	sampling temperature
Operating Pressure (kPag)	operating pressure
Salinity (M of NaCl)	sampling salinity
pH (lab)	experimental pH
pH (field)	sampling pH
Sulfate (mM)	sampling sulfate concentration
Sulfide (mM)	sampling sulfide concentration
SRR - no subtrate (umol S/mL/day)	
SRR - with oil (umol S/mL/day)	sampling sulfate reduction rate
Total Iron (mM)	sampling total iron concentration
Ammonium (mM)	sampling ammonium concentration
Acetate (mM)	sampling acetate concentration
Propionate (mM)	sampling propionate concentration
Butyrate (mM)	butyrate concentration
ATP Test (Estimated log  # of microbes/mL)	ATP test log
qPCR (#16S copies/mL sample)	qPCR 16S copies
Bromide (mM)	bromide concentration
Chloride (mM)	chloride concentration
Caminicella (%)	No Match
Deferribacteraceae (%)	No Match
Desulfacinum (%)	No Match
Desulfomicrobium (%)	No Match
Flexistipes (%)	No Match
Halothiobacillus (%)	No Match
Kosmotoga (%)	No Match
Marinobacterium (%)	No Match
Methermicoccus (%)	No Match
Sulfurospirillum (%)	No Match
Thermacetogenium (%)	No Match
Thermoanaerobacter (%)	No Match
Thermovirga (%)	No Match
Thauera (%)	No Match
Unassigned + misc (%)	No Match